Symbol,Expression Names
WDC,Pos on D:Neg on D:V
ANET,Pos on D:Neg on D:V
CTXS,Pos on D:Neg on D:V
HPE,Pos on D:Neg on D:V
IT,Pos on D:Neg on D:V
NTAP,Pos on D:Neg on D:V
LDOS,Pos on D:Neg on D:V
STX,Pos on D:Neg on D:V
JKHY,Pos on D:Neg on D:V
NLOK,Pos on D:Neg on D:V
FFIV,Pos on D:Neg on D:V
WU,Pos on D:Neg on D:V
IPGP,Pos on D:Neg on D:V
JNPR,Pos on D:Neg on D:V
DXC,Pos on D:Neg on D:V
FLIR,Pos on D:Neg on D:V
VNT,Pos on D:Neg on D:V
XRX,Pos on D:Neg on D:V
NEE,Pos on D:Neg on D:V
DUK,Pos on D:Neg on D:V
SO,Pos on D:Neg on D:V
D,Pos on D:Neg on D:V
EXC,Pos on D:Neg on D:V
AEP,Pos on D:Neg on D:V
SRE,Pos on D:Neg on D:V
XEL,Pos on D:Neg on D:V
ES,Pos on D:Neg on D:V
PEG,Pos on D:Neg on D:V
WEC,Pos on D:Neg on D:V
AWK,Pos on D:Neg on D:V
ED,Pos on D:Neg on D:V
EIX,Pos on D:Neg on D:V
DTE,Pos on D:Neg on D:V
PPL,Pos on D:Neg on D:V
ETR,Pos on D:Neg on D:V
AEE,Pos on D:Neg on D:V
CMS,Pos on D:Neg on D:V
AES,Pos on D:Neg on D:V
FE,Pos on D:Neg on D:V
LNT,Pos on D:Neg on D:V
EVRG,Pos on D:Neg on D:V
CNP,Pos on D:Neg on D:V
ATO,Pos on D:Neg on D:V
NRG,Pos on D:Neg on D:V
PNW,Pos on D:Neg on D:V
NI,Pos on D:Neg on D:V
